,eid,probe,lab,region,n_channels,neuron_yield,firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap
19,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,LP,35,9,3.7354571571135833,,,,,-115.59741,-157.93486,"[2, 15]","[20, 80]",27.411814
20,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,PO,29,4,6.673867922018456,,,,,-115.719154,-158.80798,"[2, 15]","[20, 80]",28.676014
21,aad23144-0e52-4eac-80c5-c4ee2decb198,probe01,cortexlab,VISa,78,84,4.605364812459103,140.71181362437727,,0.47253883809980546,23.950157312846635,-141.4575,-188.23325,"[2, 15]","[20, 80]",15.276692
22,aad23144-0e52-4eac-80c5-c4ee2decb198,probe01,cortexlab,CA1,49,11,6.8170113037590205,137.6085751085795,233.65374435347258,0.4491233427626895,33.89342998030425,-129.45125,-164.72646,"[2, 15]","[20, 80]",19.958767
23,aad23144-0e52-4eac-80c5-c4ee2decb198,probe01,cortexlab,DG,64,23,5.1714915136990625,138.79077985141444,267.2017663043478,0.4448659972287902,21.228129900825433,-126.24005,-155.32306,"[2, 15]","[20, 80]",26.267399
24,aad23144-0e52-4eac-80c5-c4ee2decb198,probe01,cortexlab,LP,58,28,6.028341413336382,140.2339419668195,239.72558593749994,0.49613462602841263,19.428415861834104,-137.09802,-174.74239,"[2, 15]","[20, 80]",19.620178
25,aad23144-0e52-4eac-80c5-c4ee2decb198,probe01,cortexlab,PO,67,38,3.5693463038238753,210.17592277523812,,0.4857876693709822,27.8669449314739,-139.1131,-179.59163,"[2, 15]","[20, 80]",20.164597
26,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,VISa,0,0,,,,,,,,"[2, 15]","[20, 80]",
27,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,CA1,47,43,5.320131042976841,168.72610103666165,,0.4446434371360188,27.939230077919817,-138.8982,-172.61707,"[2, 15]","[20, 80]",18.097904
28,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DG,62,23,3.624978255717532,324.130988902999,,0.5271088085807613,59.765024061806784,-128.28275,-158.00713,"[2, 15]","[20, 80]",26.430454
29,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,LP,37,34,3.283543872419108,157.999610546798,,0.6084421198376877,22.358675435070776,-147.65053,-182.91765,"[2, 15]","[20, 80]",17.773733
30,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,PO,0,0,,,,,,,,"[2, 15]","[20, 80]",
31,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,VISa,90,24,4.966113520923911,167.81602614563704,312.59486607142844,0.5450796702940713,23.416359029350495,-154.7796,-185.54068,"[2, 15]","[20, 80]",17.005838
32,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,CA1,44,6,7.114499541558463,148.92842877629312,214.98919547872342,0.46725313517368877,19.15074150451428,-133.02672,-165.25482,"[2, 15]","[20, 80]",21.382063
33,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,DG,86,18,4.575568996828642,135.8307428248343,,0.4017435396143784,22.8453172133133,-125.568375,-156.60783,"[2, 15]","[20, 80]",27.129244
34,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,LP,17,1,8.787092585173912,73.3188808900524,73.3188808900524,0.38957823414797405,11.902814136125698,-141.39246,-173.69121,"[2, 15]","[20, 80]",15.968568
35,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,PO,24,9,6.41098556345918,162.22353760631938,265.93658187722275,0.5580346797303408,44.19197903099721,-145.00269,-177.46205,"[2, 15]","[20, 80]",18.795652
36,38d95489-2e82-412a-8c1a-c5377b5f1555,probe01,mrsicflogellab,VISa,92,0,,,,,,-180.44318,-201.58997,"[2, 15]","[20, 80]",13.326277
37,38d95489-2e82-412a-8c1a-c5377b5f1555,probe01,mrsicflogellab,CA1,65,0,,,,,,-151.27654,-185.45082,"[2, 15]","[20, 80]",15.77392
38,38d95489-2e82-412a-8c1a-c5377b5f1555,probe01,mrsicflogellab,DG,72,4,10.739644267764678,148.7094452615331,161.7941810344828,0.3606857279887355,24.161494694933552,-134.45088,-168.54333,"[2, 15]","[20, 80]",21.460068
39,38d95489-2e82-412a-8c1a-c5377b5f1555,probe01,mrsicflogellab,LP,57,1,9.0298064731705,115.71875000000003,115.71875000000003,0.7251530883824262,20.12890625,-154.01857,-188.32814,"[2, 15]","[20, 80]",18.109568
40,38d95489-2e82-412a-8c1a-c5377b5f1555,probe01,mrsicflogellab,PO,16,10,6.381867451419428,168.7866389574428,239.01450892857142,0.45609786088333254,25.83233569262636,-158.35175,-192.12274,"[2, 15]","[20, 80]",20.273975
41,57fd2325-67f4-4d45-9907-29e77d3043d7,probe00,churchlandlab,VISa,0,0,,,,,,,,"[2, 15]","[20, 80]",
42,57fd2325-67f4-4d45-9907-29e77d3043d7,probe00,churchlandlab,CA1,0,0,,,,,,,,"[2, 15]","[20, 80]",
43,57fd2325-67f4-4d45-9907-29e77d3043d7,probe00,churchlandlab,DG,48,1,10.31581560142431,,,,,-141.5006,-158.96802,"[2, 15]","[20, 80]",25.121077
44,57fd2325-67f4-4d45-9907-29e77d3043d7,probe00,churchlandlab,LP,0,0,,,,,,,,"[2, 15]","[20, 80]",
45,57fd2325-67f4-4d45-9907-29e77d3043d7,probe00,churchlandlab,PO,0,0,,,,,,,,"[2, 15]","[20, 80]",
46,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,VISa,89,35,6.625476803173422,89.87829513811599,,0.5447845808755284,18.98392772580406,-152.89581,-185.82918,"[2, 15]","[20, 80]",15.807954
47,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,CA1,57,16,9.953868380929807,131.69215134355218,275.7768110795454,0.3570870128788076,32.71146099411447,-137.30827,-165.96927,"[2, 15]","[20, 80]",17.696613
48,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,DG,68,22,6.101343103325501,199.65428420574835,475.96730025773184,0.5235705401746764,51.4223601207704,-inf,-inf,"[2, 15]","[20, 80]",23.573015
49,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,LP,62,62,3.7266892501853994,136.2848301445881,240.72684487951818,0.5015190560727073,20.178748947693688,-145.66165,-172.4601,"[2, 15]","[20, 80]",19.218428
50,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,PO,36,27,4.742935826762896,137.95393099537367,230.9234494579081,0.6925657900637636,21.15216961956932,-153.10869,-179.55856,"[2, 15]","[20, 80]",23.20133
51,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,VISa,56,40,2.676109849371665,196.78568315182025,,0.577334391227625,56.19884746373196,-150.66228,-184.86978,"[2, 15]","[20, 80]",18.822792
52,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,CA1,53,44,6.649005759855328,185.6647357704366,,0.6929401411081219,37.46481085127769,-132.79161,-163.12692,"[2, 15]","[20, 80]",24.990046
53,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,DG,80,38,3.0489621136754295,156.98668716613432,368.27860560042126,0.5725950996873871,37.2518136544073,-120.62333,-150.34618,"[2, 15]","[20, 80]",30.979307
54,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,LP,62,87,6.381001468326336,226.2188871090547,536.0181183510641,0.5109123685478122,31.917013104852515,-141.86932,-172.75668,"[2, 15]","[20, 80]",28.24588
55,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,PO,0,0,,,,,,,,"[2, 15]","[20, 80]",
56,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,VISa,0,0,,,,,,,,"[2, 15]","[20, 80]",
57,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,CA1,57,41,2.281181875192852,128.88739377404485,,0.47614478981417435,24.538813211624714,-150.53792,-185.14061,"[2, 15]","[20, 80]",16.038013
58,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DG,58,2,0.47940535029856346,58.73161764705881,,0.4157986462935189,7.51378676470588,-152.73625,-188.36528,"[2, 15]","[20, 80]",14.042806
59,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,LP,9,0,,,,,,-161.33875,-198.17725,"[2, 15]","[20, 80]",14.629479
60,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,PO,0,0,,,,,,,,"[2, 15]","[20, 80]",
61,ee5c418c-e7fa-431d-8796-b2033e000b75,probe00,zadorlab,VISa,87,55,3.3555230942431145,,,,,-157.4672,-179.0146,"[2, 15]","[20, 80]",80.042
62,ee5c418c-e7fa-431d-8796-b2033e000b75,probe00,zadorlab,CA1,62,19,4.401224271775043,,,,,-134.33485,-160.0634,"[2, 15]","[20, 80]",80.52456
63,ee5c418c-e7fa-431d-8796-b2033e000b75,probe00,zadorlab,DG,72,24,9.38747069187575,,,,,-125.198425,-150.97064,"[2, 15]","[20, 80]",82.37492
64,ee5c418c-e7fa-431d-8796-b2033e000b75,probe00,zadorlab,LP,70,78,6.4458354319841655,,,,,-146.59262,-169.6301,"[2, 15]","[20, 80]",81.69763
65,ee5c418c-e7fa-431d-8796-b2033e000b75,probe00,zadorlab,PO,0,0,,,,,,,,"[2, 15]","[20, 80]",
66,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,VISa,81,14,1.6603740332667574,301.2298619127532,619.3296875,0.43108857518728033,45.367436603653246,-142.09467,-166.85585,"[2, 15]","[20, 80]",17.795515
67,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,CA1,51,6,4.413715449544692,194.46918888523155,373.2421875,0.5461510471315337,39.2108000366569,-128.33463,-158.34421,"[2, 15]","[20, 80]",20.572252
68,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,DG,76,10,3.7914947996602435,281.5808133569081,548.9353775289014,0.39415659150320725,46.397492754456465,-118.7666,-152.92467,"[2, 15]","[20, 80]",25.139675
69,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,LP,63,0,,,,,,-131.87665,-162.99133,"[2, 15]","[20, 80]",19.483965
70,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,PO,0,0,,,,,,,,"[2, 15]","[20, 80]",
